"rank","city","state","pop_2015","pop_2010","land_area","latitude","longitude"
50,"Arlington","Texas",388125,365438,248.3,"32.7007","-97.1247"
51,"Cleveland","Ohio",388072,396815,201.2,"41.4781","-81.6795"
52,"Bakersfield","California",373640,347483,368.2,"35.3212","-119.0183"
53,"Tampa","Florida",369075,335709,293.7,"27.9701","-82.4797"
54,"Aurora","Colorado",359407,325078,369.1,"39.7082","-104.8235"
55,"Honolulu","Hawai'i",352769,337256,156.7,"21.3259","-157.8453"
56,"Anaheim","California",350742,336265,129.1,"33.8555","-117.7601"
57,"Santa Ana","California",335400,324528,70.6,"33.7365","-117.8826"
58,"Corpus Christi","Texas",324074,305215,416,"27.7543","-97.1734"
59,"Riverside","California",322424,303871,210.2,"33.9381","-117.3932"
60,"St. Louis","Missouri",315685,319294,160.3,"38.6357","-90.2446"
61,"Lexington","Kentucky",314488,295803,734.6,"38.0402","-84.4584"
62,"Stockton","California",305658,291707,159.7,"37.9763","-121.3133"
63,"Pittsburgh","Pennsylvania",304391,305704,143.4,"40.4398","-79.9766"
64,"Saint Paul","Minnesota",300851,285068,134.6,"44.9489","-93.1039"
65,"Anchorage","Alaska",298695,291826,4415.1,"61.2176","-149.8953"
66,"Cincinnati","Ohio",298550,296943,201.9,"39.1399","-84.5064"
67,"Henderson","Nevada",285667,257729,279,"36.0122","-115.0375"
68,"Greensboro","North Carolina",285342,269666,327.7,"36.0965","-79.8271"
69,"Plano","Texas",283558,259841,185.4,"33.0508","-96.7479"
70,"Newark","New Jersey",281944,277140,62.6,"40.7242","-74.1726"
71,"Toledo","Ohio",279789,287208,209,"41.6641","-83.5819"
72,"Lincoln","Nebraska",277348,258379,230.8,"40.8090","-96.6804"
73,"Orlando","Florida",270934,238300,265.2,"28.4159","-81.2988"
74,"Chula Vista","California",265757,243916,128.5,"32.6277","-117.0152"
75,"Jersey City","New Jersey",264290,247597,38.3,"40.7114","-74.0648"
76,"Chandler","Arizona",260828,236123,166.8,"33.2829","-111.8549"
77,"Fort Wayne","Indiana",260326,253691,286.5,"41.0882","-85.1439"
78,"Buffalo","New York",258071,261310,104.6,"42.8925","-78.8597"
79,"Durham","North Carolina",257636,228330,278.1,"35.9810","-78.9056"
80,"St. Petersburg","Florida",257083,244769,159.9,"27.7620","-82.6441"
81,"Irvine","California",256927,212375,171.2,"33.6784","-117.7713"
82,"Laredo","Texas",255473,236091,230.3,"27.5477","-99.4869"
83,"Lubbock","Texas",249042,229573,317,"33.5665","-101.8867"
84,"Madison","Wisconsin",248951,233209,198.9,"43.0878","-89.4301"
85,"Gilbert","Arizona",247542,208453,176,"33.3102","-111.7422"
86,"Norfolk","Virginia",246393,242803,140.2,"36.9230","-76.2446"
87,"Reno","Nevada",241445,225221,266.8,"39.4745","-119.7765"
88,"Winston–Salem","North Carolina",241218,229617,343,"36.1033","-80.2606"
89,"Glendale","Arizona",240126,226721,155.3,"33.5331","-112.1899"
90,"Hialeah","Florida",237069,224669,55.6,"25.8699","-80.3029"
91,"Garland","Texas",236897,226876,147.8,"32.9098","-96.6304"
92,"Scottsdale","Arizona",236839,217385,476.4,"33.6687","-111.8237"
93,"Irving","Texas",236607,216290,173.6,"32.8577","-96.9700"
94,"Chesapeake","Virginia",235429,222209,882.7,"36.6794","-76.3018"
95,"North Las Vegas","Nevada",234807,216961,262.5,"36.2830","-115.0893"
96,"Fremont","California",232206,214089,200.6,"37.4944","-121.9411"
97,"Baton Rouge","Louisiana",228590,229493,199.3,"30.4485","-91.1259"
98,"Richmond","Virginia",220289,204214,154.9,"37.5314","-77.4760"
99,"Boise","Idaho",218281,205671,205.56,"43.5985","-116.2311"
100,"San Bernardino","California",216108,209924,153.3,"34.1393","-117.2953"
101,"Spokane","Washington",213272,208916,153.4,"47.6736","-117.4166"
